system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
00000000000000000233,0.0,885.0,0.6420792645320963,17.0,66.0,"{""type"":""Point"",""coordinates"":[108.53491204176538,14.358131487154644]}",108.53491204176538,14.358131487154644,42.560078754625785,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000009c,0.0,705.0,0.5138932792154468,18.0,61.0,"{""type"":""Point"",""coordinates"":[108.52089708715441,14.05872514692102]}",108.5208970871544,14.05872514692102,758.9432622007035,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004a1,0.0,977.0,0.6886678742446786,20.0,40.0,"{""type"":""Point"",""coordinates"":[108.44517263306479,14.439786545645344]}",108.4451726330648,14.439786545645344,1608.1433011782733,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000577,0.0,903.0,0.0072074871671375,20.0,64.0,"{""type"":""Point"",""coordinates"":[108.44004912595437,14.360824784190923]}",108.44004912595436,14.360824784190925,1244.5170302361112,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000011a,0.0,748.0,0.2108410968744617,21.0,53.0,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.29938283077549]}",108.60282415080935,14.29938283077549,1056.3635614480131,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004d8,0.0,916.0,0.2950640617702126,21.0,73.0,"{""type"":""Point"",""coordinates"":[108.51146608842637,14.056566942011154]}",108.51146608842636,14.056566942011154,873.0669981137411,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000113,0.0,1000.0,0.0543795946877438,23.0,31.0,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.129063006938077]}",108.48182198462308,14.129063006938075,2179.059494774303,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000524,0.0,678.0,0.7085111257067921,26.0,34.0,"{""type"":""Point"",""coordinates"":[108.49529738800656,14.273778672526612]}",108.49529738800656,14.273778672526612,654.5144861190786,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000596,0.0,1275.0,0.2955399943863284,29.0,93.0,"{""type"":""Point"",""coordinates"":[108.32443801294168,14.268120073289785]}",108.32443801294168,14.268120073289785,6612.523361608574,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004df,0.0,785.0,0.4220306486236187,32.0,73.0,"{""type"":""Point"",""coordinates"":[108.4769704826769,14.168138109469421]}",108.4769704826769,14.16813810946942,1968.2409310261216,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000052b,0.0,756.0,0.7517420130157252,36.0,99.0,"{""type"":""Point"",""coordinates"":[108.49125298335109,14.13849400566611]}",108.49125298335107,14.13849400566611,1008.801562092371,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000053c,0.0,914.0,0.4728291123698709,37.0,63.0,"{""type"":""Point"",""coordinates"":[108.48208953068627,14.053873644974873]}",108.48208953068628,14.053873644974871,2366.041926766647,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004c1,0.0,822.0,0.405728151987781,38.0,77.0,"{""type"":""Point"",""coordinates"":[108.42899947354395,14.278902179637019]}",108.42899947354395,14.27890217963702,1370.2566440263408,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000484,0.0,510.0,0.5385552736761023,1.0,44.0,"{""type"":""Point"",""coordinates"":[108.51200563965384,14.22688676584857]}",108.51200563965384,14.22688676584857,219.68611056846936,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000048f,0.0,769.0,0.4906939969215396,3.0,45.0,"{""type"":""Point"",""coordinates"":[108.51173809359062,14.340076586989245]}",108.51173809359062,14.340076586989245,278.4440790882858,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000001d5,0.0,535.0,0.486530074592034,5.0,45.0,"{""type"":""Point"",""coordinates"":[108.49718358775219,14.282402573963973]}",108.4971835877522,14.282402573963973,168.65587978465408,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000493,0.0,1216.0,0.2370705969985251,5.0,45.0,"{""type"":""Point"",""coordinates"":[108.39692961876754,14.540847611920642]}",108.39692961876754,14.540847611920642,3744.453630110936,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000216,0.0,1102.0,0.2330613100713159,6.0,45.0,"{""type"":""Point"",""coordinates"":[108.42819237625326,14.506352006171179]}",108.42819237625326,14.50635200617118,132.81138330972095,31885.0,1,KBang,train,0,,,,,,,,,,
000000000000000003ac,0.0,879.0,0.230524705568872,6.0,45.0,"{""type"":""Point"",""coordinates"":[108.5324862907923,14.384542742694203]}",108.5324862907923,14.384542742694205,6.662350394144477,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000007c,0.0,959.0,0.7436813999870658,10.0,45.0,"{""type"":""Point"",""coordinates"":[108.46457418174832,14.412028641587646]}",108.46457418174832,14.412028641587646,127.85050792381917,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000002d,0.0,784.0,0.4137283588619586,11.0,45.0,"{""type"":""Point"",""coordinates"":[108.46268798200272,14.251144275579314]}",108.46268798200272,14.251144275579314,669.476310070954,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000010a,0.0,702.0,0.0601054501157806,11.0,45.0,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.295877977347486]}",108.60282415080935,14.295877977347486,141.6011468766839,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000146,0.0,582.0,0.2854828886136791,11.0,45.0,"{""type"":""Point"",""coordinates"":[108.49071343212363,14.15142985782216]}",108.49071343212364,14.15142985782216,192.40493460007096,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000001ee,0.0,668.0,0.6891537247776195,14.0,45.0,"{""type"":""Point"",""coordinates"":[108.53787734396592,14.128791001773816]}",108.53787734396592,14.128791001773816,1487.84085935699,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000041a,0.0,582.0,0.2154841576306408,15.0,45.0,"{""type"":""Point"",""coordinates"":[108.47804958513184,14.293991777601876]}",108.47804958513184,14.293991777601876,146.7640078298737,0.0,0,KBang,train,0,,,,,,,,,,
