system:index,district,split,lon,lat,treecover2000,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,loss_any_2001_2024,loss_first_year,label_train_period,label_test_period,defo,label,risk_baseline,risk_logreg,risk_rf,warn_top5_rf,warn_top10_rf,label_hansen_loss_any
00000000000000000be8_0,KBang,train,108.55081319612196,14.27512532104475,100,711,12.4972725,3002.574410483241,2569.066161002828,1,2016,1,0,1.0,,0.5712343256230011,0.5437883611802102,0.7255406485993128,0,0,1
00000000000000000b26_0,KBang,train,108.57318004700603,14.306927629757924,100,792,12.775064,3139.498244166374,2607.9216171444064,0,0,0,0,1.0,,0.5744571703713646,0.5017267581039871,0.42120278936474853,0,0,0
00000000000000000b27_0,KBang,train,108.4276528250258,14.406909593578286,100,1023,14.758792,3056.5912619680166,2430.7695342178336,1,2018,1,0,1.0,,0.47008760961848056,0.25144153082087245,0.5750530160392452,0,0,1
00000000000000000685_0,KBang,train,108.45864357734725,14.26434767379857,100,756,13.5357895,3299.3934005498886,2718.926994363391,1,2018,1,0,1.0,,0.6136671022942776,0.5780231137693744,0.6654256803307872,0,0,1
00000000000000000720_0,KBang,train,108.3998949209681,14.412300646751904,100,1038,17.430195,3230.138293027878,2568.9875608114658,1,2016,1,0,1.0,,0.48320847864129274,0.31343077146206516,0.7090203858291213,0,0,1
000000000000000008f7_0,KBang,train,108.5265601454923,14.268659624517252,100,710,13.535851,3283.608837634325,2704.4453318488963,1,2016,1,0,1.0,,0.6237280662955456,0.6379017240240623,0.8121789248169345,0,1,1
00000000000000000a0d_0,KBang,train,108.48855968631482,14.19940086695513,100,653,13.066939,3179.5106303691864,2674.302724357361,1,2018,1,0,1.0,,0.6219317086130918,0.64136675730158,0.7762758795684157,0,0,1
00000000000000000c60_0,KBang,train,108.5365306954478,14.132835406429292,100,738,8.972438,3335.206618718803,2843.7770705979806,0,2013,1,0,1.0,,0.6589385867848246,0.4884936380994722,0.3423263649617471,0,0,0
0000000000000000085d_0,KBang,train,108.4438215254456,14.26084282037056,100,699,10.2689905,3954.77065885067,3193.707802749039,1,2017,1,0,1.0,,0.7714460770334494,0.7678925106927741,0.8680309650556752,1,1,1
00000000000000000b69_0,KBang,train,108.51874334134558,14.334417987752422,100,802,14.754649,3361.179399266839,2766.2203726602984,1,2022,0,1,1.0,,0.6042170521290116,0.5212165018504,0.7137258887669107,0,0,1
00000000000000000bfe_0,KBang,train,108.59824465402748,14.362982989100797,100,843,10.150006,3001.057534530759,2400.0190920016626,1,2023,0,1,1.0,,0.548815706857184,0.527397415247731,0.6545841332540556,0,0,1
00000000000000000a82_0,KBang,train,108.42010802604338,14.385621845149142,100,879,8.2891,3307.1987401247025,2646.067406310553,1,2016,1,0,1.0,,0.6180397007500908,0.5113459290549626,0.7832904867857866,0,0,1
00000000000000000aed_0,KBang,train,108.32497756416916,14.3910084392217,100,883,16.245712,3714.876072347164,2911.4369120395304,1,2019,0,1,1.0,,0.6436003120252773,0.511985632905668,0.648980858053137,0,0,1
00000000000000000b48_0,KBang,train,108.48451528165936,14.147657458330947,100,634,15.626957,3364.3139811381698,2879.1407314955827,0,0,0,0,1.0,,0.6469591970902259,0.6586388086950079,0.3702764797908202,0,0,0
00000000000000000b6c_0,KBang,train,108.52817434007362,14.228772965594178,100,576,16.420347,3132.610942572356,2663.5936415282367,1,2018,1,0,1.0,,0.6098626709500791,0.7264996356787905,0.8299281273501735,1,1,1
0000000000000000081d_0,KBang,train,108.5006884411802,14.206138568646889,100,628,17.677008,3132.610942572356,2663.5936415282367,1,2019,0,1,1.0,,0.5850686526884656,0.6145774586259488,0.7124955973819239,0,0,1
00000000000000000af9_0,KBang,train,108.49691158258791,14.348160937199138,100,808,11.898388,3410.552547223866,2766.438409104254,1,2020,0,1,1.0,,0.6337406363970552,0.4827981478328335,0.7637543268852908,0,0,1
000000000000000007cf_0,KBang,train,108.47643093144944,14.4104144470063,100,1000,18.108234,3026.558855623007,2396.239654855617,1,2016,1,0,1.0,,0.4446688543174657,0.28349759999005797,0.5899407988331844,0,0,1
000000000000000008c1_0,KBang,train,108.4357371752357,14.255723772361206,100,728,21.022821,3954.77065885067,3193.707802749039,1,2018,1,0,1.0,,0.6998366002561757,0.7391915393409256,0.7929949866155,0,1,1
00000000000000000be6_0,KBang,train,108.43358342942687,14.282942125191438,100,678,18.796179,3954.77065885067,3193.707802749039,1,2016,1,0,1.0,,0.7265768716058166,0.7586442082702786,0.7642065214876154,0,0,1
000000000000000006c5_0,KBang,train,108.45352452933788,14.389122239476093,100,749,13.645327,3174.5908024162054,2515.3602785260928,0,0,0,0,1.0,,0.5883492638512621,0.6270508605395012,0.31977491342374603,0,0,0
000000000000000007c7_0,KBang,train,108.51011943990822,14.32309633017772,100,759,24.420456,3361.179399266839,2766.2203726602984,1,2022,0,1,1.0,,0.5437896257493586,0.6232962208384378,0.7107068843270669,0,0,1
00000000000000000adb_0,KBang,train,108.48155443855984,14.233624467540327,100,697,28.126802,3116.021737858653,2587.275775269555,1,2016,1,0,1.0,,0.4797818900959539,0.6255827475057111,0.6240271625470275,0,0,1
0000000000000000099a_0,KBang,train,108.55000609883128,14.276204423499683,100,700,22.440346,3283.608837634325,2704.4453318488963,1,2001,1,0,1.0,,0.5599485113568058,0.6885696387542075,0.7122774077946855,0,0,1
