system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label,rand,slope,.geo,lon,lat,dist_to_nearest_road_m
00000000000000000299,1613.5,666.0,385.5,591.5,352.0,3679.5,0.693476,0.8253752,735,0,0.7274340850327327,14.200424,"{""type"":""Point"",""coordinates"":[108.387623474869,14.095780276675153]}",108.387623474869,14.095780276675153,80.30119478452121
000000000000000002d1,3613.0,2508.0,680.0,985.0,1242.0,2805.0,0.055900622,0.38621202,735,0,0.7377704356964231,6.026033,"{""type"":""Point"",""coordinates"":[108.29599340732176,13.877756989767972]}",108.29599340732176,13.877756989767972,581.80030339975
00000000000000000010,2458.0,1456.5,478.5,786.0,638.5,3089.5,0.3592169,0.65745705,736,0,0.2731217341818887,9.852019,"{""type"":""Point"",""coordinates"":[108.3463901674278,13.86643979129433]}",108.3463901674278,13.86643979129433,2085.796772842118
0000000000000000015d,2621.0,1464.0,470.0,728.0,717.0,3151.0,0.36554712,0.6292658,736,0,0.1398903356606698,7.6557374,"{""type"":""Point"",""coordinates"":[108.30030535804045,13.954832551476786]}",108.30030535804045,13.954832551476786,1609.1909711291353
00000000000000000198,3726.0,2384.0,648.0,947.0,1181.0,2660.0,0.054718476,0.385056,736,0,0.7088613392433658,0.92740995,"{""type"":""Point"",""coordinates"":[108.30111691443217,13.872905487821825]}",108.30111691443217,13.872905487821825,643.962207012544
000000000000000001ea,3003.5,2152.5,682.5,932.5,1128.0,2502.5,0.075187966,0.37859797,736,0,0.5374668196313952,2.6611536,"{""type"":""Point"",""coordinates"":[108.29815161223162,13.877217438540505]}",108.29815161223162,13.877217438540505,775.7191904833145
0000000000000000021f,2603.0,1807.0,556.0,794.5,1023.5,2344.0,0.12936641,0.39213067,736,0,0.239232415213374,0.0,"{""type"":""Point"",""coordinates"":[108.28225045787505,13.905247347762469]}",108.28225045787505,13.905247347762469,6.550574957120593
0000000000000000023f,4054.0,3782.0,1634.0,1907.0,1842.0,2445.5,-0.2146126,0.14075802,736,0,0.5764245065294723,1.3317431,"{""type"":""Point"",""coordinates"":[108.30488931392338,14.028135713694383]}",108.30488931392338,14.028135713694383,47.35536320654189
00000000000000000284,2373.0,1306.0,474.0,731.0,641.0,3105.0,0.40784404,0.6577683,736,0,0.0651232450860918,0.0,"{""type"":""Point"",""coordinates"":[108.22969995196017,14.043229770760297]}",108.22969995196017,14.043229770760297,107.96182547589298
000000000000000002de,3076.0,2000.0,672.0,1044.0,1132.0,3254.0,0.2386753,0.48381212,736,0,0.0019169213411667,9.645453,"{""type"":""Point"",""coordinates"":[108.35932601958386,14.010887910819651]}",108.35932601958386,14.010887910819651,364.071601692708
000000000000000002ea,2413.0,1253.5,403.0,594.5,542.0,2958.0,0.40472516,0.69028574,736,0,0.2219163014000007,13.891361,"{""type"":""Point"",""coordinates"":[108.34342486522725,14.126231477769139]}",108.34342486522725,14.126231477769139,52.35378268944669
00000000000000000053,1502.5,646.5,298.5,526.0,330.5,3280.0,0.6706991,0.81692284,737,0,0.5771178924191412,6.34946,"{""type"":""Point"",""coordinates"":[108.22080404535855,14.042150668305359]}",108.22080404535855,14.042150668305359,59.16251814938095
00000000000000000073,2936.0,1697.0,676.0,998.0,934.0,3413.0,0.33581212,0.57027835,737,0,0.6541382661174411,12.36723,"{""type"":""Point"",""coordinates"":[108.30974081586953,13.976664310234458]}",108.30974081586953,13.976664310234458,74.2682946230314
000000000000000000a9,1996.0,954.5,389.0,584.0,401.0,3585.0,0.5794691,0.79879576,737,0,0.0886017112454728,6.726037,"{""type"":""Point"",""coordinates"":[108.33076101823546,14.066943270162522]}",108.33076101823546,14.066943270162522,65.3908533308078
00000000000000000187,3184.0,2067.5,798.0,1013.0,1172.5,2699.5,0.13257813,0.39436984,737,0,0.0691390631500482,6.464861,"{""type"":""Point"",""coordinates"":[108.28575531130305,13.905514893825673]}",108.28575531130305,13.905514893825673,34.33500948497078
00000000000000000289,1693.0,1033.0,489.0,746.0,599.0,2536.0,0.42112637,0.6178628,737,0,0.1349215505785428,0.956287,"{""type"":""Point"",""coordinates"":[108.31836471730689,14.117607576331773]}",108.31836471730689,14.117607576331773,156.62659009253892
000000000000000002ec,1660.0,766.0,377.0,605.0,390.0,2957.0,0.5885039,0.7669555,737,0,0.2602837688007633,7.061629,"{""type"":""Point"",""coordinates"":[108.40217352160641,14.011159915983914]}",108.40217352160641,14.011159915983914,647.4632192233396
000000000000000000dc,2255.0,1088.0,357.0,573.0,430.0,3236.0,0.49676225,0.7654119,738,0,0.5806062896619602,1.3315187,"{""type"":""Point"",""coordinates"":[108.30219155778605,13.95267880566797]}",108.30219155778605,13.95267880566797,1896.792035575565
00000000000000000110,2976.5,1933.5,524.5,723.0,820.5,2461.5,0.12013652,0.5,738,0,0.5574746058851642,3.9894543,"{""type"":""Point"",""coordinates"":[108.29356765634867,14.024095768139958]}",108.29356765634867,14.024095768139958,124.5070156873691
00000000000000000160,3009.0,1651.0,556.0,832.0,848.0,3526.0,0.36217886,0.6122542,738,0,0.4609142064250311,9.103712,"{""type"":""Point"",""coordinates"":[108.3005773632047,13.951332157149832]}",108.3005773632047,13.951332157149832,1824.0518070424273
00000000000000000167,1170.0,642.0,506.0,728.0,712.0,1966.0,0.50766873,0.4682599,738,0,0.6221347671620827,4.6795187,"{""type"":""Point"",""coordinates"":[108.28818106227612,14.116260927813633]}",108.28818106227612,14.116260927813633,176.32412081855745
0000000000000000026c,1267.0,723.0,460.0,698.0,644.0,2042.0,0.47703436,0.5204765,738,0,0.1471896923204547,1.8543341,"{""type"":""Point"",""coordinates"":[108.31836471730689,14.120572878532315]}",108.31836471730689,14.120572878532315,65.31744806230643
000000000000000002f2,1690.5,716.5,349.0,509.5,324.0,3263.5,0.63994974,0.81937283,738,0,0.7069779031418126,14.167085,"{""type"":""Point"",""coordinates"":[108.34558307013714,14.084998170327923]}",108.34558307013714,14.084998170327923,440.5293374162474
0000000000000000000a,4507.0,3487.0,1150.0,1452.0,1689.0,2938.0,-0.08544747,0.26993734,739,0,0.1491827124759505,5.110678,"{""type"":""Point"",""coordinates"":[108.30542886515086,13.870212190785542]}",108.30542886515086,13.870212190785542,3018.9481569495338
00000000000000000026,2803.5,1663.0,464.5,708.0,719.0,3189.0,0.31450948,0.63203686,739,0,0.3174649185174246,15.85667,"{""type"":""Point"",""coordinates"":[108.31351321536076,13.986634860189962]}",108.31351321536076,13.986634860189962,86.60400467426477
000000000000000000a6,2615.0,1483.5,440.0,678.0,698.5,2749.5,0.29907867,0.5948376,739,0,0.2452354644656115,5.987153,"{""type"":""Point"",""coordinates"":[108.30138446049538,13.866707337357534]}",108.30138446049538,13.866707337357534,2470.5166734393156
0000000000000000011a,2934.0,1871.5,781.5,978.0,1091.0,2545.0,0.15249632,0.39988998,739,0,0.3841214201620413,10.499959,"{""type"":""Point"",""coordinates"":[108.33426141256244,13.85808343592017]}",108.33426141256244,13.85808343592017,2939.121050972068
00000000000000000282,2090.0,1173.0,460.0,640.0,571.0,3074.0,0.44761008,0.6866941,739,0,0.1945578264585438,8.010104,"{""type"":""Point"",""coordinates"":[108.3304890130712,14.062903324608099]}",108.3304890130712,14.062903324608099,48.72663400125747
000000000000000002a6,2803.5,1645.5,491.0,715.0,760.0,2862.0,0.2698835,0.58034235,739,0,0.1794823112422232,4.1661105,"{""type"":""Point"",""coordinates"":[108.30812216218712,13.973159456806446]}",108.30812216218712,13.973159456806446,268.0785920615244
0000000000000000030d,4135.0,3890.0,1393.0,1645.0,1632.0,2563.0,-0.2056408,0.22193088,739,0,0.7707393866729889,0.9558921,"{""type"":""Point"",""coordinates"":[108.2954538560943,14.023016665685025]}",108.2954538560943,14.023016665685025,21.87764494571346
000000000000000001c8,3008.0,1836.0,610.0,877.0,968.0,3078.0,0.25274727,0.52150273,740,0,0.0396711164306038,17.00615,"{""type"":""Point"",""coordinates"":[108.31728561485195,13.993372561881719]}",108.31728561485195,13.993372561881719,886.8590368842646
000000000000000001ca,4222.0,3244.0,1062.0,1378.0,1726.0,3034.0,-0.03345014,0.27478993,740,0,0.5237657386894897,4.677658,"{""type"":""Point"",""coordinates"":[108.30381021146844,13.87075174201301]}",108.30381021146844,13.87075174201301,885.661030757993
0000000000000000028e,2308.0,1246.0,402.0,672.0,676.0,2884.0,0.39661017,0.6202247,740,0,0.1471839370711781,13.361423,"{""type"":""Point"",""coordinates"":[108.33803381205364,13.864553591548722]}",108.33803381205364,13.864553591548722,2172.7188275901226
000000000000000002ef,4218.5,3261.0,751.0,1047.0,1512.0,2816.0,-0.07322692,0.3012939,740,0,0.5047734872865267,2.8655784,"{""type"":""Point"",""coordinates"":[108.29815161223162,14.02517041149384]}",108.29815161223162,14.02517041149384,120.56718862885856
00000000000000000046,2828.0,1930.0,700.0,933.0,1008.0,2495.0,0.12768361,0.42449328,741,0,0.216665358034056,12.542376,"{""type"":""Point"",""coordinates"":[108.28682995465692,13.821701630425107]}",108.28682995465692,13.821701630425107,507.20970158142865
000000000000000001e7,2484.0,1434.0,446.0,719.0,645.0,3080.0,0.36464334,0.6536913,741,0,0.1616761770908855,8.638778,"{""type"":""Point"",""coordinates"":[108.3482763671734,14.085809726719651]}",108.3482763671734,14.085809726719651,1139.8002012363272
00000000000000000231,2582.5,1405.5,510.5,758.5,735.5,2914.0,0.34923023,0.5969311,741,0,0.0651454337542296,16.24506,"{""type"":""Point"",""coordinates"":[108.35204876666462,14.10575082663066]}",108.35204876666462,14.10575082663066,718.8643930865647
00000000000000000260,2502.0,1669.0,561.0,772.0,920.0,2325.0,0.16424637,0.4329738,741,0,0.5239581608654688,5.1113772,"{""type"":""Point"",""coordinates"":[108.2844086627849,13.906866001444868]}",108.2844086627849,13.906866001444868,67.07306645634652
00000000000000000001,3480.5,3050.0,1002.0,1400.0,1536.0,2705.0,-0.05994787,0.27564254,742,0,0.4588986845902133,2.085901,"{""type"":""Point"",""coordinates"":[108.29787960706736,14.019783817421278]}",108.29787960706736,14.019783817421278,109.44769036986057
00000000000000000031,3707.0,3912.0,2681.0,3248.0,2740.0,3113.0,-0.11373665,0.063728005,742,0,0.1537027759453493,2.8655093,"{""type"":""Point"",""coordinates"":[108.29815161223162,14.019783817421278]}",108.29815161223162,14.019783817421278,107.94211322515372
0000000000000000003b,2542.0,1453.0,448.0,782.0,653.0,2628.0,0.28791964,0.60195065,742,0,0.5124394722127008,2.7802885,"{""type"":""Point"",""coordinates"":[108.31728561485195,14.053739871943266]}",108.31728561485195,14.053739871943266,42.03228659175775
00000000000000000061,1979.5,949.5,350.5,517.0,444.0,3298.5,0.5529661,0.7627255,742,0,0.1748961703011848,13.42417,"{""type"":""Point"",""coordinates"":[108.34719726471849,14.117607576331777]}",108.34719726471849,14.117607576331777,79.16220776978619
000000000000000000db,2297.0,1204.0,451.0,757.0,529.0,3495.0,0.48755056,0.73707753,742,0,0.272398341432662,1.3317589,"{""type"":""Point"",""coordinates"":[108.41753512473554,14.033254761703738]}",108.41753512473554,14.033254761703738,130.56576916176425
000000000000000000fe,2898.0,1724.0,686.0,1010.0,959.0,2980.0,0.2670068,0.5130744,742,0,0.041207000226396,2.0861046,"{""type"":""Point"",""coordinates"":[108.32159756557064,14.126231477769135]}",108.32159756557064,14.126231477769135,159.02472720554368
00000000000000000129,2171.0,1051.0,346.0,612.0,445.0,3440.0,0.5319528,0.7709138,742,0,0.2994526967281191,9.930618,"{""type"":""Point"",""coordinates"":[108.33749871992723,13.865360688839395]}",108.33749871992723,13.865360688839395,2088.846240337305
0000000000000000003f,2492.0,1313.0,364.0,664.0,485.0,3170.0,0.41423154,0.73461014,743,0,0.3068981130532444,3.9895806,"{""type"":""Point"",""coordinates"":[108.28898815956678,14.038378268814144]}",108.28898815956678,14.038378268814144,42.11494935700567
0000000000000000015e,2682.0,1292.5,416.0,858.0,556.5,4167.0,0.5265134,0.76436967,743,0,0.3692380122246096,16.257227,"{""type"":""Point"",""coordinates"":[108.39436117656076,13.991753908199316]}",108.39436117656076,13.991753908199316,211.3562082916661
000000000000000002dc,2374.0,1412.5,509.0,761.0,848.5,2915.0,0.34719816,0.54908997,743,0,0.2213808758649585,12.538746,"{""type"":""Point"",""coordinates"":[108.33453341772669,13.855929690111353]}",108.33453341772669,13.855929690111353,3168.3646737544786
000000000000000000b6,2481.0,1267.0,533.0,864.0,621.0,3536.0,0.47241306,0.70122683,744,0,0.2717922219926872,17.523127,"{""type"":""Point"",""coordinates"":[108.36040512203878,14.101171329848773]}",108.36040512203878,14.101171329848773,295.73451915066096
00000000000000000173,3477.0,2109.0,731.0,1029.0,1098.0,2998.0,0.1740748,0.4638672,744,0,0.6028821241421544,8.086973,"{""type"":""Point"",""coordinates"":[108.3186322633701,13.998763615055337]}",108.3186322633701,13.998763615055337,401.88880967770956
000000000000000001fe,1547.0,662.5,331.5,508.5,316.5,3418.5,0.6753247,0.83052206,744,0,0.2505724788816322,6.7956104,"{""type"":""Point"",""coordinates"":[108.3544745176377,13.857008792566289]}",108.3544745176377,13.857008792566289,3388.979010991418
000000000000000000f2,3172.0,2030.0,566.0,764.0,934.0,2455.0,0.09476031,0.44880494,745,0,0.0255515251192611,2.0859115,"{""type"":""Point"",""coordinates"":[108.29410720757615,14.02517041149384]}",108.29410720757615,14.02517041149384,128.29011340689388
00000000000000000155,2981.0,1748.0,484.0,786.0,771.0,3078.0,0.27559054,0.59937644,745,0,0.3378599448926405,13.648223,"{""type"":""Point"",""coordinates"":[108.3188998094333,13.998763615055335]}",108.3188998094333,13.998763615055335,412.93388655301607
0000000000000000029e,2256.0,1100.0,392.0,736.0,441.0,3220.0,0.49074075,0.7590822,745,0,0.1599435244880001,17.608479,"{""type"":""Point"",""coordinates"":[108.31620651239702,13.989060611163035]}",108.31620651239702,13.989060611163035,267.6217659867433
