grid_id,x_utm,y_utm,centroid_lon,centroid_lat,dist_to_nearest_road_m
kbang_00106,860500.0,1593500.0,108.34229405531454,14.39023147328581,733.64445172011
kbang_00107,860500.0,1594500.0,108.34242850423956,14.39925770148339,748.7428646029564
kbang_00108,860500.0,1595500.0,108.34256304650255,14.408283921569579,192.81758802792498
kbang_00109,860500.0,1596500.0,108.34269768212128,14.41731013353954,192.7026664102167
kbang_00110,860500.0,1597500.0,108.34283241111356,14.426336337388438,960.2758100725054
kbang_00111,860500.0,1598500.0,108.34296723349723,14.435362533111432,1598.386855348115
kbang_00112,860500.0,1599500.0,108.34310214929015,14.444388720703687,2328.9190262434886
kbang_00113,860500.0,1600500.0,108.34323715851014,14.453414900160364,2970.441260347597
kbang_00114,860500.0,1601500.0,108.34337226117508,14.462441071476633,3718.1745129357914
kbang_00115,860664.5097492299,1602654.464870865,108.34505227507832,14.472839772966674,5028.542483501352
kbang_00116,860914.50974923,1603179.5631260634,108.34743924800306,14.47754639846138,4513.889613579138
kbang_00117,861662.9317870293,1573771.3930325592,108.3504209152532,14.212004280503693,9389.052565299495
kbang_00118,861500.0,1574658.7149671237,108.34903134801162,14.220034649719492,9427.957816992233
kbang_00119,861500.0,1575500.0,108.34914328282613,14.227628336739063,9389.303502768524
kbang_00120,861500.0,1576500.0,108.3492764208731,14.236654624508807,9441.17118121203
kbang_00121,861500.0,1577500.0,108.34940965219639,14.245680904247802,9298.764952314234
kbang_00122,861500.0,1578500.0,108.34954297681358,14.254707175951191,8330.254434187475
kbang_00123,861500.0,1579500.0,108.34967639474229,14.263733439614123,7370.159308876076
kbang_00124,861500.0,1580500.0,108.34980990600013,14.272759695231752,6422.254863996388
kbang_00125,861500.0,1581500.0,108.34994351060476,14.281785942799221,5492.855981913038
kbang_00126,861500.0,1582500.0,108.3500772085738,14.290812182311688,4593.209785972162
kbang_00127,861500.0,1583500.0,108.35021099992494,14.299838413764297,3744.821148982019
kbang_00128,861500.0,1584500.0,108.35034488467583,14.308864637152208,2991.6207543362834
kbang_00129,861500.0,1585500.0,108.35047886284421,14.317890852470564,2352.1522699545944
kbang_00130,861500.0,1586500.0,108.35061293444775,14.326917059714523,1930.797093190035
kbang_00131,861500.0,1587500.0,108.35074709950418,14.335943258879242,1856.3871430724737
kbang_00132,861500.0,1588500.0,108.35088135803123,14.344969449959864,2069.4853286978414
kbang_00133,861500.0,1589500.0,108.35101571004667,14.35399563295155,1939.5354592795932
kbang_00134,861500.0,1590500.0,108.35115015556823,14.363021807849455,1887.2317320264744
kbang_00135,861500.0,1591500.0,108.35128469461372,14.372047974648725,2120.1799765609117
kbang_00136,861500.0,1592500.0,108.3514193272009,14.381074133344528,1938.0884587132266
kbang_00137,861500.0,1593500.0,108.3515540533476,14.390100283932005,1730.3549930161898
kbang_00138,861500.0,1594500.0,108.35168887307164,14.399126426406324,1041.1973940693697
kbang_00139,861500.0,1595500.0,108.35182378639082,14.408152560762634,117.57977193293758
kbang_00140,861500.0,1596500.0,108.35195879332304,14.417178686996095,107.99492850158676
kbang_00141,861500.0,1597500.0,108.35209389388609,14.426204805101865,238.95094986817068
kbang_00142,861500.0,1598500.0,108.35222908809791,14.435230915075106,922.4233205395922
kbang_00143,861500.0,1599500.0,108.35236437597638,14.44425701691096,1559.1350626509868
kbang_00144,861500.0,1600500.0,108.35249975753939,14.453283110604602,2330.1713546798924
kbang_00145,861500.0,1601500.0,108.35263523280484,14.46230919615118,3227.431381011503
kbang_00146,861500.0,1602500.0,108.35277080179068,14.471335273545865,4171.536681697255
kbang_00147,861652.5604354825,1603679.5631260634,108.35434411324673,14.481961911664262,3622.5870688758464
kbang_00148,861902.5604354825,1604204.6613812617,108.3567314027459,14.486668376376642,3127.3367850469353
kbang_00149,861912.4762774722,1613706.6711429702,108.3581191078452,14.572432061411558,7052.128127575244
kbang_00150,861940.6291108734,1614278.0795591017,108.35845821585906,14.577585808557862,7588.549695878386
kbang_00151,862985.348707981,1572815.662486969,108.36252920380758,14.203205805756852,8351.093018537487
kbang_00152,862549.2245631233,1573427.8173744134,108.35857565835792,14.208787967893787,8596.462590932475
kbang_00153,862500.0,1574500.0,108.35826314645489,14.218472122181174,8450.073060004543
kbang_00154,862500.0,1575500.0,108.35839655714672,14.227498332142673,8389.304364800564
kbang_00155,862500.0,1576500.0,108.35853006135353,14.23652453407172,8447.314409391252
kbang_00156,862500.0,1577500.0,108.35866365909301,14.245550727963469,8621.705964422375
kbang_00157,862500.0,1578500.0,108.35879735038277,14.25457691381306,8647.26635020492
kbang_00158,862500.0,1579500.0,108.35893113524047,14.263603091615634,7726.663227506354
kbang_00159,862500.0,1580500.0,108.35906501368378,14.272629261366344,6828.428364654013
kbang_00160,862500.0,1581500.0,108.35919898573039,14.281655423060327,5962.679199078555
kbang_00161,862500.0,1582500.0,108.35933305139798,14.290681576692737,5145.838370084767
kbang_00162,862500.0,1583500.0,108.3594672107043,14.299707722258717,4405.197138715728
kbang_00163,862500.0,1584500.0,108.35960146366703,14.308733859753406,3756.7995374660327
kbang_00164,862500.0,1585500.0,108.35973581030396,14.317759989171963,3210.9380188336986
kbang_00165,862500.0,1586500.0,108.35987025063282,14.32678611050953,2916.250354761967
kbang_00166,862500.0,1587500.0,108.36000478467137,14.335812223761259,2855.210797393102
kbang_00167,862500.0,1588500.0,108.36013941243743,14.344838328922291,3046.042364201167
kbang_00168,862500.0,1589500.0,108.36027413394876,14.353864425987778,2927.020652543832
kbang_00169,862500.0,1590500.0,108.36040894922319,14.362890514952873,2885.665694930633
kbang_00170,862500.0,1591500.0,108.36054385827852,14.371916595812722,3049.609318522023
kbang_00171,862500.0,1592500.0,108.36067886113263,14.38094266856248,2867.1174898009895
kbang_00172,862500.0,1593500.0,108.36081395780334,14.389968733197291,2325.3964084094696
kbang_00173,862500.0,1594500.0,108.36094914830853,14.398994789712306,1497.6217483696378
kbang_00174,862500.0,1595500.0,108.36108443266609,14.408020838102683,753.1727559708003
kbang_00175,862500.0,1596500.0,108.3612198108939,14.417046878363566,534.4758061358729
kbang_00176,862500.0,1597500.0,108.3613552830099,14.426072910490113,299.3342577579752
kbang_00177,862500.0,1598500.0,108.36149084903197,14.435098934477482,180.90210658014416
kbang_00178,862500.0,1599500.0,108.36162650897808,14.444124950320816,1013.5078268365631
kbang_00179,862500.0,1600500.0,108.36176226286616,14.453150958015268,2000.6412979977088
kbang_00180,862500.0,1601500.0,108.36189811071421,14.462176957556002,2968.3375370094377
kbang_00181,862500.0,1602500.0,108.36203405254018,14.471202948938158,3629.857022122938
kbang_00182,862500.0,1603500.0,108.36217008836209,14.480228932156907,2994.7763684533666
kbang_00183,862640.6111217352,1604704.6613812617,108.36363671456148,14.491083512551567,2238.228624537652
kbang_00184,862918.4403551836,1605451.9695932707,108.36631244823549,14.497791769115423,1690.9804147243055
kbang_00185,862963.1857826952,1611972.973136015,108.36761870701368,14.55664372483728,5096.227025852741
kbang_00186,862736.7001823586,1612320.8157380032,108.36556757872897,14.559813537810047,5488.452606676547
kbang_00187,862500.0,1613529.6422821493,108.36353968206761,14.570755862479139,6718.237773134719
kbang_00188,862500.0,1614308.0159071288,108.36364636854238,14.57778138013061,7475.778869911589
kbang_00189,862964.9365038566,1615326.2637267169,108.36809504451159,14.586909808697525,8358.303073292936
kbang_00190,863905.034055616,1569840.4522794997,108.370640848282,14.17623138077297,8996.801761868597
kbang_00191,863847.1732459601,1570500.0,108.3701935931043,14.182192078725603,8643.388656853493
kbang_00192,863664.5055323049,1571746.631274741,108.36867007428673,14.19346813159754,8146.962228429367
kbang_00193,863522.5787597131,1572347.2467911122,108.367437189791,14.198907860713003,8017.605421238261
kbang_00194,863500.0,1573500.0,108.36738227855035,14.20931571461012,7658.227547659301
kbang_00195,863500.0,1574500.0,108.36751596137451,14.218341846535914,7458.226476688346
kbang_00196,863500.0,1575500.0,108.36764973795229,14.227367970427567,7389.305460151336
kbang_00197,863500.0,1576500.0,108.36778360830134,14.236394086280212,7455.100816841421
kbang_00198,863500.0,1577500.0,108.36791757243935,14.245420194088984,7652.138341347268
kbang_00199,863500.0,1578500.0,108.36805163038402,14.254446293849037,7727.048730145971
kbang_00200,863500.0,1579500.0,108.36818578215302,14.263472385555495,7621.980836094443
kbang_00201,863500.0,1580500.0,108.36832002776411,14.27249846920351,7349.11629546694
kbang_00202,863500.0,1581500.0,108.368454367235,14.281524544788216,6552.527727847499
kbang_00203,863500.0,1582500.0,108.36858880058345,14.290550612304754,5819.083168689282
kbang_00204,863500.0,1583500.0,108.36872332782721,14.299576671748266,5166.668678012694
kbang_00205,863500.0,1584500.0,108.36885794898406,14.308602723113896,4570.772859350301
