system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m
00000000000000000387,0,770,0.4807734530105142,10,58,"{""type"":""Point"",""coordinates"":[108.46403463052086,14.248446519441984]}",108.46403463052086,14.248446519441984,1001.3075427096894
0000000000000000056b,0,939,0.0235913350015513,20,58,"{""type"":""Point"",""coordinates"":[108.51038698597142,14.068423691712265]}",108.51038698597142,14.068423691712265,1782.6298881580028
000000000000000002c0,0,694,0.5606298582902881,29,58,"{""type"":""Point"",""coordinates"":[108.45487117785603,14.37106733931069]}",108.45487117785603,14.37106733931069,455.02275866686995
00000000000000000497,0,679,0.4908946072127391,5,59,"{""type"":""Point"",""coordinates"":[108.52359484329175,14.241169266522759]}",108.52359484329175,14.241169266522759,896.7443924915216
000000000000000000f0,0,569,0.2780893490105787,10,59,"{""type"":""Point"",""coordinates"":[108.52440194058241,14.138222000501855]}",108.52440194058241,14.138222000501855,350.6054017929732
00000000000000000050,0,776,0.4001723650814003,7,62,"{""type"":""Point"",""coordinates"":[108.59824465402748,14.346002732289275]}",108.59824465402748,14.346002732289275,1970.423959914793
0000000000000000044d,0,637,0.2598971652405413,8,71,"{""type"":""Point"",""coordinates"":[108.64055260482256,14.159781754095265]}",108.64055260482256,14.159781754095265,649.4994362276818
000000000000000005fb,0,725,0.7052309578547808,14,71,"{""type"":""Point"",""coordinates"":[108.41579607532469,14.216916215893066]}",108.41579607532469,14.216916215893066,2430.046432564982
00000000000000000212,0,798,0.3188984106324077,16,71,"{""type"":""Point"",""coordinates"":[108.33791341632521,14.423078293998085]}",108.33791341632521,14.423078293998085,992.0573957098795
0000000000000000044b,0,876,0.4382043107453329,19,71,"{""type"":""Point"",""coordinates"":[108.43789538014558,14.375111743966162]}",108.43789538014558,14.375111743966162,627.6955419937194
0000000000000000062e,0,610,0.1163059314940759,3,72,"{""type"":""Point"",""coordinates"":[108.47319808318571,14.149811204139759]}",108.47319808318571,14.149811204139759,32.753466633093225
000000000000000002bf,0,859,0.5587517540609831,7,72,"{""type"":""Point"",""coordinates"":[108.47211898073077,14.319323930686505]}",108.47211898073077,14.319323930686505,489.50783613673053
000000000000000002fa,0,1051,0.0184396670185653,9,72,"{""type"":""Point"",""coordinates"":[108.44058867718184,14.4268506934893]}",108.44058867718184,14.4268506934893,26.941405315934
00000000000000000508,0,631,0.5606751775866977,9,72,"{""type"":""Point"",""coordinates"":[108.50122353330661,14.061146438793044]}",108.50122353330661,14.061146438793044,1156.1189517466955
00000000000000000082,0,1156,0.0260026436910996,12,72,"{""type"":""Point"",""coordinates"":[108.42199422578898,14.515787464000272]}",108.42199422578898,14.515787464000272,944.1609397667265
000000000000000001ad,0,779,0.6322283051007086,15,72,"{""type"":""Point"",""coordinates"":[108.33440856289718,14.427662249881026]}",108.33440856289718,14.427662249881026,1621.5183876620936
0000000000000000049b,0,750,0.7090167172512307,16,72,"{""type"":""Point"",""coordinates"":[108.60632900423737,14.305308976075525]}",108.60632900423737,14.305308976075525,1305.1289729695663
000000000000000005a5,0,877,0.2158482154478047,19,72,"{""type"":""Point"",""coordinates"":[108.44975212984667,14.313125780222213]}",108.44975212984667,14.313125780222213,1090.0022511083803
0000000000000000055e,0,646,0.6515044688509221,21,72,"{""type"":""Point"",""coordinates"":[108.53275829595658,14.229312516821645]}",108.53275829595658,14.229312516821645,528.7687296835066
00000000000000000240,0,654,0.4285596344116594,26,72,"{""type"":""Point"",""coordinates"":[108.57345205217032,14.243055466268366]}",108.57345205217032,14.243055466268366,216.43464762902624
00000000000000000089,0,817,0.0957890589478063,7,74,"{""type"":""Point"",""coordinates"":[108.33117571463345,14.394780838712915]}",108.33117571463345,14.394780838712915,139.94079946821824
0000000000000000033e,0,739,0.5169145690994308,8,74,"{""type"":""Point"",""coordinates"":[108.41148412460602,14.209910968138102]}",108.41148412460602,14.209910968138102,3226.40438383989
00000000000000000356,0,567,0.2222418787053856,9,74,"{""type"":""Point"",""coordinates"":[108.53006053981923,14.181613512852936]}",108.53006053981923,14.181613512852936,231.22259099815483
0000000000000000050b,0,573,0.3221538371900546,9,74,"{""type"":""Point"",""coordinates"":[108.55215984464012,14.145231707357869]}",108.55215984464012,14.145231707357869,704.0348525176261
00000000000000000097,0,829,0.0368840786489861,19,74,"{""type"":""Point"",""coordinates"":[108.44032113111865,14.244406573887561]}",108.44032113111865,14.244406573887561,754.0599485366422
000000000000000003fb,0,969,0.0615534797885343,27,74,"{""type"":""Point"",""coordinates"":[108.32201226196862,14.432513751827175]}",108.32201226196862,14.432513751827175,2381.764766396908
00000000000000000129,0,941,0.5904143725951637,31,74,"{""type"":""Point"",""coordinates"":[108.40043447219557,14.244406573887561]}",108.40043447219557,14.244406573887561,4327.304434318307
0000000000000000057f,0,834,0.2533683336036858,8,75,"{""type"":""Point"",""coordinates"":[108.3319828119241,14.367022934655212]}",108.3319828119241,14.367022934655212,0.8174956962458688
0000000000000000012b,0,904,0.7751069997266254,9,75,"{""type"":""Point"",""coordinates"":[108.49367873432418,14.35301243914529]}",108.49367873432418,14.35301243914529,102.6102304347321
00000000000000000448,0,1259,0.3888168596959699,10,75,"{""type"":""Point"",""coordinates"":[108.38911727372192,14.592591020544827]}",108.38911727372192,14.592591020544827,6736.9739889430275
00000000000000000624,0,628,0.6011670932205124,11,75,"{""type"":""Point"",""coordinates"":[108.49583693923404,14.198861315727664]}",108.49583693923404,14.198861315727664,390.5753365582938
00000000000000000021,0,1132,0.2716565038977587,12,75,"{""type"":""Point"",""coordinates"":[108.43924202866371,14.513361713027205]}",108.43924202866371,14.513361713027205,156.75490109766187
000000000000000000ce,0,1114,0.3971298026543175,10,76,"{""type"":""Point"",""coordinates"":[108.41417742164228,14.509049762308523]}",108.41417742164228,14.509049762308523,735.4968360056121
000000000000000003bb,0,743,0.2935988631266715,10,76,"{""type"":""Point"",""coordinates"":[108.41148412460602,14.238208423423274]}",108.41148412460602,14.238208423423274,2952.053783630623
00000000000000000217,0,900,0.3401711335851302,11,76,"{""type"":""Point"",""coordinates"":[108.53518404692966,14.431974200599708]}",108.53518404692966,14.431974200599708,807.5067836661992
000000000000000005e0,0,640,0.5845063677101733,12,76,"{""type"":""Point"",""coordinates"":[108.62680965537587,14.146038804648542]}",108.62680965537587,14.146038804648542,538.5824071948766
000000000000000001e0,0,650,0.394965819167412,15,76,"{""type"":""Point"",""coordinates"":[108.59312114691707,14.227426317076038]}",108.59312114691707,14.227426317076038,110.54093359188623
0000000000000000052d,0,855,0.3985252334988676,16,76,"{""type"":""Point"",""coordinates"":[108.49799068504285,14.098339800679835]}",108.49799068504285,14.098339800679835,4239.994217064071
00000000000000000262,0,749,0.0331614812137075,17,76,"{""type"":""Point"",""coordinates"":[108.48478728682359,14.141726853929864]}",108.48478728682359,14.141726853929864,740.0903512035065
000000000000000003f4,0,645,0.793936488597052,17,76,"{""type"":""Point"",""coordinates"":[108.56374904827801,14.135528703465573]}",108.56374904827801,14.135528703465573,591.8714055713982
000000000000000005f9,0,693,0.6621259111830818,17,76,"{""type"":""Point"",""coordinates"":[108.47454473170384,14.219074420802936]}",108.47454473170384,14.219074420802936,1453.4568593723423
000000000000000002ca,0,542,0.2739904135289509,21,76,"{""type"":""Point"",""coordinates"":[108.54919454243958,14.1527765063403]}",108.54919454243958,14.1527765063403,656.4109128170896
00000000000000000017,0,782,0.5070866319762681,22,76,"{""type"":""Point"",""coordinates"":[108.53410494447472,14.12690480202821]}",108.53410494447472,14.12690480202821,1671.6509882456046
00000000000000000022,0,1172,0.0267916806619177,23,76,"{""type"":""Point"",""coordinates"":[108.41444942680654,14.514975907608552]}",108.41444942680654,14.514975907608552,1273.504105481445
000000000000000003e7,0,870,0.0826011530894541,25,76,"{""type"":""Point"",""coordinates"":[108.35327501945432,14.479133653340948]}",108.35327501945432,14.479133653340948,3896.678052123926
00000000000000000395,0,948,0.4870262483143402,27,76,"{""type"":""Point"",""coordinates"":[108.31796785731314,14.382924089011802]}",108.31796785731314,14.382924089011802,1251.557316846098
000000000000000001b6,0,1174,0.0247575175674995,31,76,"{""type"":""Point"",""coordinates"":[108.31770031124992,14.35381953643596]}",108.31770031124992,14.35381953643596,1222.3034562550104
000000000000000004d7,0,759,0.4823774853206957,32,76,"{""type"":""Point"",""coordinates"":[108.49287163703349,14.134449601010637]}",108.49287163703349,14.134449601010637,881.9095584374172
000000000000000005e6,0,992,0.103011487883072,36,76,"{""type"":""Point"",""coordinates"":[108.34949816086204,14.458653002202476]}",108.34949816086204,14.458653002202476,3007.3055015345626
00000000000000000489,0,883,0.1171408623347941,3,78,"{""type"":""Point"",""coordinates"":[108.33575521141533,14.341962786734848]}",108.33575521141533,14.341962786734848,393.3587739578699
0000000000000000060d,0,669,0.2630830325360607,5,78,"{""type"":""Point"",""coordinates"":[108.59016030381758,14.25195137286999]}",108.59016030381758,14.25195137286999,13.131553153622443
00000000000000000350,0,876,0.7678249486845967,6,78,"{""type"":""Point"",""coordinates"":[108.32794286636971,14.331720231615085]}",108.32794286636971,14.331720231615085,190.45025748987342
000000000000000000ca,0,877,0.2572520697645538,8,78,"{""type"":""Point"",""coordinates"":[108.59985884860883,14.406642047515081]}",108.59985884860883,14.406642047515081,2001.3034048060856
000000000000000004ea,0,1009,0.1420772499890469,15,78,"{""type"":""Point"",""coordinates"":[108.3263242126873,14.295070880056812]}",108.3263242126873,14.295070880056812,3622.3200095950465
00000000000000000305,0,687,0.5936674880063413,18,78,"{""type"":""Point"",""coordinates"":[108.42576662528019,14.248178973378776]}",108.42576662528019,14.248178973378776,2350.1664799242367
00000000000000000304,0,570,0.1970410452384438,22,78,"{""type"":""Point"",""coordinates"":[108.5486549912121,14.176762010906788]}",108.5486549912121,14.176762010906788,616.3857250621968
00000000000000000610,0,630,0.5188060015889389,22,78,"{""type"":""Point"",""coordinates"":[108.44840548132855,14.282135027900768]}",108.44840548132855,14.282135027900768,489.86908488075454
000000000000000005bc,0,1008,0.3266557548519375,23,78,"{""type"":""Point"",""coordinates"":[108.35677541378126,14.471321308295314]}",108.35677541378126,14.471321308295314,4042.938618352098
000000000000000005fc,0,748,0.0690305649137329,24,78,"{""type"":""Point"",""coordinates"":[108.44166777963679,14.24602076846891]}",108.44166777963679,14.24602076846891,810.5226113369824
000000000000000000c1,0,788,0.2854219977721023,26,78,"{""type"":""Point"",""coordinates"":[108.33683431387026,14.45299440296565]}",108.33683431387026,14.45299440296565,3477.2774032071247
0000000000000000026b,0,592,0.4609435266824387,32,78,"{""type"":""Point"",""coordinates"":[108.47023278098516,14.299110825611235]}",108.47023278098516,14.299110825611235,195.71104267478754
000000000000000005c7,0,870,0.482611283566615,35,78,"{""type"":""Point"",""coordinates"":[108.48909923754229,14.138222000501855]}",108.48909923754229,14.138222000501855,1132.2677884726243
0000000000000000063a,0,867,0.1105291933325585,4,79,"{""type"":""Point"",""coordinates"":[108.55000609883129,14.407449144805756]}",108.55000609883129,14.407449144805756,28.94802185705959
0000000000000000032f,0,876,0.2739683230941575,5,79,"{""type"":""Point"",""coordinates"":[108.54622924023903,14.438439897127205]}",108.54622924023903,14.438439897127205,23.42896613188746
0000000000000000019d,0,641,0.0328121560669668,19,79,"{""type"":""Point"",""coordinates"":[108.54191728952034,14.116394700845238]}",108.54191728952034,14.116394700845238,771.7172805094832
00000000000000000147,0,688,0.658350888845997,6,81,"{""type"":""Point"",""coordinates"":[108.54650124540329,14.27701597989141]}",108.54650124540329,14.27701597989141,69.68523600079243
00000000000000000476,0,834,0.1598908422350724,13,81,"{""type"":""Point"",""coordinates"":[108.46457418174832,14.137686908375441]}",108.46457418174832,14.137686908375441,1527.4089522322977
0000000000000000002f,0,568,0.4661294230087359,14,81,"{""type"":""Point"",""coordinates"":[108.56778899383244,14.128791001773816]}",108.56778899383244,14.128791001773816,1203.3495427392202
000000000000000000bc,0,782,0.7312257301748192,14,81,"{""type"":""Point"",""coordinates"":[108.3360272165796,14.424429401617274]}",108.3360272165796,14.424429401617274,991.2469366385507
