system:index,defo,elevation,rand,slope,treecover2000,.geo
107,0,1076,0.7942114178716561,7,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5098495339169,14.51120461588036]}"
108,0,1195,0.18659085402364006,30,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3546206528211,14.436554615770028]}"
109,0,1189,0.7037345089061611,10,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43439105005086,14.537884579818709]}"
110,0,1067,0.2939277045497961,6,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52197679025255,14.51955894802267]}"
114,0,1061,0.7435250772442147,45,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.31473545420619,14.419845951485406]}"
115,0,687,0.5055377082963916,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.63543401063686,14.191853532375873]}"
116,0,663,0.6129021991234436,9,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54326686248618,14.211526637098089]}"
117,0,784,0.6963514155904982,6,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4473267901422,14.24278800898545]}"
120,0,707,0.043513274395191814,5,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.65402913701809,14.198051907836295]}"
121,0,1477,0.2899485724233928,15,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.34411036399689,14.231469236405545]}"
122,0,735,0.7541158003629554,6,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41202299947633,14.20371129412625]}"
123,0,1033,0.050968386824334466,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48101361329668,14.478595771066821]}"
124,0,988,0.15873697850367796,20,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.39181090558361,14.381847214967152]}"
125,0,954,0.5731198925405296,4,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5095800393317,14.4370936049405]}"
126,0,1097,0.7333516603168444,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.39342787309505,14.425235843190123]}"
128,0,1041,0.3786685556357757,1,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56428744013459,14.514169056317954]}"
129,0,771,0.2717311420579759,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.64621379404628,14.288602088475542]}"
131,0,655,0.7096999178437468,13,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.50149520177462,14.121515445629313]}"
132,0,1279,0.014502703836110076,41,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.39747029187356,14.277013821310405]}"
134,0,655,0.4177086395235492,9,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.66022751247851,14.154393785028084]}"
135,0,624,0.5165423268061168,6,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53302606824724,14.170024470971768]}"
136,0,825,0.061844998673793894,27,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46268798150066,14.35274179976168]}"
138,0,1263,0.4657005168312227,13,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.40312967816351,14.585046132234986]}"
140,0,909,0.7389670609225166,6,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49233238587658,14.362443604830169]}"
143,0,661,0.6166945779046219,13,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48748148334238,14.203441799541011]}"
145,0,637,0.016737037566645463,5,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48936794543903,14.208023207490022]}"
146,0,923,0.08109854209679968,3,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52251577942303,14.4723973956064]}"
147,0,1142,0.7908665394212818,15,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4254977287381,14.469971944339278]}"
148,0,961,0.7470986551965079,4,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52197679025255,14.372953893654369]}"
149,0,885,0.6582428232292987,10,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56994682642454,14.438710572451917]}"
150,0,994,0.6514159870440962,9,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48748148334238,14.429547756553895]}"
151,0,689,0.13246351158820668,13,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.47912715120003,14.08136075242917]}"
153,0,1111,0.690922043881843,15,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53706848702575,14.307466709442053]}"
154,0,680,0.6846169815007663,8,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5977047687038,14.242249019814977]}"
155,0,1123,0.3309624814543085,6,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42630621249384,14.467815987657389]}"
156,0,1091,0.006568472044784279,28,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41013653737969,14.186194146085917]}"
157,0,1031,0.0430089879439155,22,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.34680530984923,14.455149742151306]}"
158,0,959,0.7436813999870658,10,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46457444359731,14.412030608513568]}"
160,0,1098,0.49581162108195864,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.40016523772596,14.42469685401965]}"
161,0,1525,0.7911345967497759,16,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33360007517268,14.229852268894128]}"
162,0,1004,0.5246505802523713,26,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.50257318011558,14.463234579708377]}"
164,0,1075,0.3474989332068963,20,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.31635242171757,14.338728081329414]}"
165,0,1118,0.7353173094166764,15,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.44247588760794,14.471858406435928]}"
166,0,1156,0.026002643691099614,12,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42199429913006,14.51578602382937]}"
167,0,857,0.5326546490045958,15,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.57021632100975,14.39154902003564]}"
168,0,1480,0.5548725392140496,10,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33413906434316,14.234972666013611]}"
169,0,849,0.19697198593984833,18,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46107101398923,14.071658947360682]}"
170,0,1079,0.7515635675424812,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49933924509276,14.525757323483099]}"
171,0,1206,0.7699427470734658,15,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37025133876477,14.248447395275399]}"
173,0,866,0.6439490256710191,19,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43951144717039,14.375648839506724]}"
174,0,817,0.09578905894780632,7,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33117462390555,14.394782955058474]}"
175,0,1057,0.5242006530523136,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.45810657355162,14.502580789152816]}"
176,0,941,0.4616325102183887,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49960873967797,14.36217411024493]}"
180,0,1041,0.2702212992946402,20,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43816397424422,14.46161761219696]}"
181,0,1308,0.3521659054084759,26,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3519257069687,14.379691258285263]}"
182,0,1037,0.037234108455813986,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.55189068921374,14.509857142954182]}"
184,0,1264,0.2971279880387103,34,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36863437125334,14.49503494076621]}"
186,0,843,0.5995025092030994,13,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43331307170996,14.324714362897147]}"
188,0,1138,0.3672214844832211,12,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43762498507374,14.17218042765365]}"
189,0,830,0.23882301890943003,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.62465422722738,14.338997575914647]}"
190,0,976,0.5699838434137617,5,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49044592377993,14.49314847866956]}"
191,0,1151,0.10107291342602132,6,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.39073292724271,14.465929525560739]}"
192,0,723,0.002495695141446097,17,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52979213322436,14.243865987326394]}"
194,0,1214,0.18892375251280746,1,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41229249406155,14.521984399289792]}"
196,0,829,0.03688407864898613,19,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.44031993092608,14.24440497649686]}"
197,0,928,0.4221032534405378,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54057191663384,14.430356240309607]}"
198,0,898,0.3997338203681533,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48263058080812,14.090523568327193]}"
199,0,989,0.4916183715197596,7,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52467173610489,14.540849020256303]}"
201,0,718,0.05037342600347827,3,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52251577942303,14.274588370043276]}"
202,0,705,0.5138932792154468,18,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5208988119116,14.05872320726936]}"
203,0,798,0.5922976632722188,3,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.64136289151202,14.264886564974788]}"
204,0,1398,0.18907186792929098,34,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36081902828153,14.229582774308888]}"
205,0,1224,0.17224977149990628,7,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.39019393807223,14.52791328016498]}"
206,0,933,0.49405846698054956,35,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49475783714371,14.072197936531154]}"
207,0,946,0.3890051944260995,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52305476859351,14.47428385770305]}"
209,0,1140,0.42405007927893656,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37564123046945,14.489645049061494]}"
210,0,1100,0.623617756875456,2,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.40986704279442,14.416612016462572]}"
211,0,820,0.22443803851248134,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.62411523805696,14.471049922680216]}"
212,0,1015,0.48373873963256364,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5238632523492,14.489645049061494]}"
213,0,1057,0.5453323019137262,22,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48963744002424,14.477248298140644]}"
214,0,958,0.11538040066268684,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52655819820154,14.543543966108665]}"
215,0,1065,0.4609053009986146,5,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41471794532868,14.439788550792862]}"
217,0,622,0.7492576158127925,13,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61764736801126,14.221497936751817]}"
218,0,690,0.11772985799474667,7,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48640350500142,14.143883496203891]}"
219,0,1163,0.0035161627878051993,3,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.40825007528304,14.356784218540213]}"
220,0,757,0.7480824050625603,23,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42522823415288,14.295878442276909]}"
221,0,789,0.5652331723694533,30,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54596180833852,14.302076817737337]}"
222,0,929,0.21998906161159815,2,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.51604790937733,14.421193424411584]}"
223,0,1128,0.2991746459376359,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.40609411860112,14.452993785469417]}"
226,0,940,0.4699318949982281,5,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.51523942562164,14.473475373947338]}"
228,0,809,0.04339578673744626,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.58153509358965,14.32713981416427]}"
229,0,755,0.5770893798672126,11,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53167859532101,14.28806309930507]}"
230,0,814,0.02814009432519793,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.65079520199527,14.262730608292898]}"
231,0,1001,0.11956339878566824,10,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4217248045448,14.394243965888002]}"
232,0,995,0.12341593550966778,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.55835855925937,14.518480969681733]}"
233,0,1036,0.20348122970565308,10,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.45460314394359,14.426313821531068]}"
234,0,1675,0.05813204307151598,14,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.38210910051515,14.32121093328908]}"
235,0,1203,0.7629106031496229,14,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4537946601879,14.53033873143211]}"
237,0,964,0.22771732598100325,6,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52844466029819,14.450568334202295]}"
240,0,1021,0.6285146795005503,23,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36782588749764,14.214221582950444]}"
241,0,1491,0.4707720754533883,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3330610860022,14.235511655184077]}"
243,0,782,0.7312257301748192,14,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33602552643981,14.424427359434418]}"
244,0,817,0.43448944569725645,31,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42954014751666,14.271623929605681]}"
245,0,1011,0.6970794680496956,9,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52116830649686,14.45973115010031]}"
246,0,1053,0.6107075289631338,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.44544032804555,14.469163460583566]}"
249,0,519,0.6131760408613921,9,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53545151951431,14.181343243551673]}"
250,0,788,0.2854219977721023,26,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3368340101955,14.452993785469417]}"
251,0,763,0.4741708014943111,8,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.65268166409192,14.237398117280733]}"
253,0,1547,0.7699343202503665,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36135801745195,14.256532232832477]}"
254,0,689,0.7032561149576375,23,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49610531006988,14.178378803114079]}"
255,0,891,0.38437626497618915,9,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41390946157298,14.177570319358374]}"
256,0,819,0.6749395018741203,1,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61629989508509,14.308275193197758]}"
257,0,1115,0.21713769084961143,31,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.32389827010417,14.378074290773846]}"
258,0,1540,0.36770862000039906,1,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.38103112217419,14.293991980180259]}"
259,0,907,0.1132840848790001,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5570110863332,14.448951366690878]}"
260,0,877,0.25725206976455384,8,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.59986072538572,14.406640716808852]}"
262,0,1003,0.6248827623297866,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53868545453719,14.521175915534087]}"
263,0,804,0.7104612798087878,43,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33333058058747,14.429817251139134]}"
264,0,1310,0.5973959397930431,18,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37079032793525,14.309622666123943]}"
265,0,1114,0.3971298026543175,10,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4141789561582,14.509048659198477]}"
266,0,1018,0.04796760994468885,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4880204725128,14.445178442497578]}"
267,0,659,0.3729995536939187,5,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.66157498540474,14.155741257954269]}"
