system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label,rand,slope,.geo
00000000000000000573,2388.0,1610.0,629.0,867.0,895.0,2964.0,0.29602098,0.53614926,841,1,0.4054667690246361,20.721262,"{""type"":""Point"",""coordinates"":[108.3822324216954,14.066403718935057]}"
000000000000000005aa,2417.0,1937.5,559.0,657.5,892.5,1786.0,-0.040687524,0.33358222,841,1,0.6007958969495242,12.543927,"{""type"":""Point"",""coordinates"":[108.32698861874425,13.904168245307535]}"
00000000000000000386,2057.0,1226.0,459.0,627.0,689.0,2396.0,0.32302594,0.55332255,842,1,0.28212426324656004,9.291395,"{""type"":""Point"",""coordinates"":[108.3447715137454,14.141325534835053]}"
000000000000000004a8,3187.0,2184.0,798.0,1037.0,1311.0,2569.0,0.081001475,0.3242268,842,1,0.6505953383310232,6.533895,"{""type"":""Point"",""coordinates"":[108.32752371087068,13.90039584581632]}"
0000000000000000062a,2722.0,1718.0,664.5,842.5,923.0,2812.5,0.24158481,0.50582254,842,1,0.28197708955436485,22.788548,"{""type"":""Point"",""coordinates"":[108.35043457208329,14.124077731960325]}"
00000000000000000381,2297.0,1822.0,614.0,731.0,1020.0,1850.0,0.0076252725,0.2891986,844,1,0.5670675442354347,12.902142,"{""type"":""Point"",""coordinates"":[108.33102856429868,13.904707796535]}"
000000000000000003b1,2143.0,1214.0,429.5,608.0,606.5,2448.0,0.33697432,0.602881,844,1,0.29974785669173576,11.032515,"{""type"":""Point"",""coordinates"":[108.33776626599044,14.152375187245491]}"
000000000000000005df,2328.0,1814.0,577.0,693.0,863.0,2045.0,0.059860066,0.40646493,844,1,0.047892670283663175,12.754429,"{""type"":""Point"",""coordinates"":[108.33076101823548,13.904707796535]}"
000000000000000003bc,2649.0,1960.0,621.0,829.0,948.0,2308.0,0.08153702,0.41769043,845,1,0.1371463815368238,13.171974,"{""type"":""Point"",""coordinates"":[108.32510241899865,13.905786898989936]}"
00000000000000000349,2426.5,1284.0,455.5,696.5,597.0,3352.5,0.44613394,0.6976833,846,1,0.44610373374844636,20.983198,"{""type"":""Point"",""coordinates"":[108.32483041383439,14.17500958419278]}"
00000000000000000519,2038.0,1194.0,438.5,636.0,552.0,2729.5,0.39135975,0.6635685,847,1,0.30271209958063516,5.1158957,"{""type"":""Point"",""coordinates"":[108.34504351890965,14.141325534835053]}"
00000000000000000625,2465.0,1445.0,456.0,699.0,668.0,2810.0,0.32079905,0.6158712,847,1,0.5388633333837946,10.533236,"{""type"":""Point"",""coordinates"":[108.34612262136459,13.930039949619628]}"
0000000000000000031d,2500.0,1783.0,753.0,864.0,988.0,3147.0,0.27667344,0.52212816,848,1,0.36887278436210746,8.500523,"{""type"":""Point"",""coordinates"":[108.35016256691901,13.947827303721823]}"
000000000000000003c5,1854.0,970.0,465.0,641.0,517.0,3083.0,0.5213422,0.7127778,851,1,0.6770443423063344,12.802568,"{""type"":""Point"",""coordinates"":[108.34045956302673,13.911985049454223]}"
00000000000000000550,2070.0,1711.0,601.0,787.0,912.0,1652.0,-0.01754386,0.28861153,851,1,0.2985099779299841,3.9884393,"{""type"":""Point"",""coordinates"":[108.33345431527175,13.910098849708616]}"
00000000000000000369,2148.0,1577.0,581.5,772.0,856.0,2180.0,0.16050039,0.43610013,853,1,0.42608862369205336,5.6282086,"{""type"":""Point"",""coordinates"":[108.33372186133495,13.910098849708616]}"
0000000000000000035a,2438.0,1487.5,491.5,695.5,654.5,3192.5,0.36431623,0.65973485,855,1,0.39063478191074874,4.7241344,"{""type"":""Point"",""coordinates"":[108.33156811552614,13.909287293316886]}"
0000000000000000047a,2343.0,1442.0,370.0,637.0,572.0,2505.0,0.26931846,0.6282093,855,1,0.37910698744841476,10.141147,"{""type"":""Point"",""coordinates"":[108.39112832829701,14.077185825282287]}"
000000000000000004a7,2267.5,1811.0,552.5,737.5,943.0,2124.5,0.07965951,0.38516706,855,1,0.7945184935656607,3.7047918,"{""type"":""Point"",""coordinates"":[108.33130056946294,13.909287293316886]}"
000000000000000004e7,2995.0,2140.0,557.5,733.5,907.5,2248.0,0.02461258,0.4248138,855,1,0.7442971392402244,11.853007,"{""type"":""Point"",""coordinates"":[108.2924930129948,14.194683138040585]}"
000000000000000005b9,2638.5,1741.5,550.0,686.5,858.5,2291.0,0.13626783,0.4548341,856,1,0.31161643840930064,7.333545,"{""type"":""Point"",""coordinates"":[108.33102856429868,13.909019747253684]}"
0000000000000000045c,3228.0,2116.0,602.0,795.0,944.0,2448.0,0.07274321,0.44339624,857,1,0.3984512059619989,5.51679,"{""type"":""Point"",""coordinates"":[108.29114190537561,14.194683138040585]}"
000000000000000005a1,2112.5,1667.5,548.5,676.5,843.5,2180.0,0.13320337,0.44203737,857,1,0.6103032596210463,8.288164,"{""type"":""Point"",""coordinates"":[108.33345431527177,13.910638400936085]}"
0000000000000000034e,2788.0,1987.0,673.0,933.0,942.0,2727.0,0.15697922,0.48650858,858,1,0.33415027045697177,15.810684,"{""type"":""Point"",""coordinates"":[108.3919354255877,14.07341342579107]}"
000000000000000003fc,3544.0,2280.0,564.0,748.0,892.0,2452.0,0.03634827,0.46650717,859,1,0.25735862037554913,7.6107845,"{""type"":""Point"",""coordinates"":[108.29141391053986,14.194415591977377]}"
000000000000000005a0,2246.0,1173.0,407.0,601.0,528.0,3211.0,0.46487227,0.71757156,859,1,0.16239128000522696,7.9428716,"{""type"":""Point"",""coordinates"":[108.33938491967285,14.152642733308697]}"
0000000000000000045d,2070.0,1593.0,523.0,691.5,732.0,2515.5,0.2245345,0.5491917,860,1,0.5952292330921268,15.859669,"{""type"":""Point"",""coordinates"":[108.33102856429869,13.909559298481152]}"
