system:index,defo,elevation,rand,slope,treecover2000,.geo
00000000000000000117,0,583,0.7572982726115153,9,47,"{""type"":""Point"",""coordinates"":[108.49745113381537,14.136068254693038]}"
00000000000000000221,0,1012,0.344693254766674,22,47,"{""type"":""Point"",""coordinates"":[108.40879082756973,14.400711443113998]}"
0000000000000000064d,0,619,0.28629053572823415,27,47,"{""type"":""Point"",""coordinates"":[108.50688659164447,14.288333178365056]}"
00000000000000000271,0,724,0.3980074349423769,4,49,"{""type"":""Point"",""coordinates"":[108.4715794295033,14.196975115982058]}"
000000000000000003d9,0,889,0.2180462878484859,7,49,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.341690781570591]}"
000000000000000003c3,0,581,0.08937096969273706,13,49,"{""type"":""Point"",""coordinates"":[108.55323894709505,14.082438646323247]}"
000000000000000002c3,0,777,0.05109668940133838,16,49,"{""type"":""Point"",""coordinates"":[108.4696932297577,14.236857315804079]}"
00000000000000000466,0,603,0.04162008902341374,3,51,"{""type"":""Point"",""coordinates"":[108.5190108874088,14.248178973378776]}"
0000000000000000054b,0,658,0.33793250891223303,5,51,"{""type"":""Point"",""coordinates"":[108.52736724278296,14.23955507194141]}"
00000000000000000115,0,499,0.4199685538911556,3,52,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.188618760607898]}"
00000000000000000606,0,876,0.1465012190764795,5,52,"{""type"":""Point"",""coordinates"":[108.54892699637637,14.440865648100278]}"
000000000000000003df,0,612,0.38457158723425067,21,52,"{""type"":""Point"",""coordinates"":[108.50418883550714,14.245213671178234]}"
0000000000000000030f,0,613,0.3487828654168764,30,52,"{""type"":""Point"",""coordinates"":[108.49017833999721,14.169484757987565]}"
0000000000000000027d,0,672,0.43975028531318905,1,54,"{""type"":""Point"",""coordinates"":[108.54084264616648,14.273778672526612]}"
0000000000000000009b,0,718,0.05037342600347827,3,54,"{""type"":""Point"",""coordinates"":[108.52251574083681,14.274590228918335]}"
00000000000000000008,0,526,0.3642911544218108,6,54,"{""type"":""Point"",""coordinates"":[108.5009559872434,14.255723772361202]}"
000000000000000004a6,0,609,0.5421003758609244,11,54,"{""type"":""Point"",""coordinates"":[108.57048674996977,14.213950913692528]}"
000000000000000001c5,0,571,0.12699365645567096,4,55,"{""type"":""Point"",""coordinates"":[108.52979299375602,14.1511578526579]}"
00000000000000000042,0,517,0.3728755928346953,5,55,"{""type"":""Point"",""coordinates"":[108.52979299375603,14.198321764500196]}"
000000000000000002b3,0,653,0.43058461337822895,1,56,"{""type"":""Point"",""coordinates"":[108.48020333094065,14.217995318348002]}"
00000000000000000167,0,1003,0.7469234708448828,3,56,"{""type"":""Point"",""coordinates"":[108.43681627769064,14.455687700001933]}"
000000000000000005e5,0,494,0.20873755702735142,4,56,"{""type"":""Point"",""coordinates"":[108.53599114422032,14.199940418182598]}"
00000000000000000269,0,1132,0.3515723356671381,7,56,"{""type"":""Point"",""coordinates"":[108.4389744826005,14.507431108626118]}"
00000000000000000246,0,473,0.5057172638235554,8,56,"{""type"":""Point"",""coordinates"":[108.56806099899671,14.178648210652396]}"
00000000000000000446,0,929,0.7303989431690716,6,58,"{""type"":""Point"",""coordinates"":[108.42091512333404,14.390740893158494]}"
00000000000000000387,0,770,0.4807734530105142,10,58,"{""type"":""Point"",""coordinates"":[108.46403463052086,14.248446519441984]}"
0000000000000000056b,0,939,0.023591335001551306,20,58,"{""type"":""Point"",""coordinates"":[108.51038698597142,14.068423691712265]}"
