system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
000000000000000004a6_0,0,KBang,609,0,0,1,14.213950913692525,108.57048674996977,1,2003,609,10.268919,2988.904823511839,2527.354326276477,0.5421003758609244,11,train,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5_0,0,KBang,571,0,0,0,14.1511578526579,108.52979299375602,0,0,569,5.003782,2927.8332602009177,2497.137565198986,0.12699365645567096,4,train,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,0,KBang,517,0,0,1,14.198321764500196,108.52979299375603,1,2012,517,4.7207837,2927.8332602009177,2497.137565198986,0.3728755928346953,5,train,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b3_0,0,KBang,653,0,0,0,14.217995318348002,108.48020333094065,0,0,652,0.92740995,3116.021737858653,2587.275775269555,0.43058461337822895,1,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167_0,0,KBang,1003,0,0,0,14.455687700001933,108.43681627769064,0,0,1003,0.9577258,3082.7387473136187,2420.537351960532,0.7469234708448828,3,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e5_0,0,KBang,494,0,0,0,14.199940418182598,108.53599114422032,0,0,497,8.877376,3132.6109425723553,2663.5936415282367,0.20873755702735142,4,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269_0,0,KBang,1132,0,1,0,14.507431108626118,108.4389744826005,1,2022,1132,6.9241805,2982.197799295187,2381.099704130859,0.3515723356671381,7,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000246_0,0,KBang,473,0,0,0,14.178648210652396,108.56806099899671,0,0,469,3.413163,2894.3183166086674,2468.4566263710717,0.5057172638235554,8,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000446_0,0,KBang,929,0,1,0,14.390740893158494,108.42091512333404,0,2022,929,6.357326,3307.1987401247025,2646.067406310553,0.7303989431690716,6,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000387_0,0,KBang,770,0,0,0,14.248446519441984,108.46403463052086,0,0,772,8.642388,3116.021737858653,2587.275775269555,0.4807734530105142,10,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000056b_0,0,KBang,939,0,0,0,14.068423691712265,108.51038698597142,0,0,938,18.63828,3250.9848297685385,2783.4902848679035,0.023591335001551306,20,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0_0,0,KBang,694,0,0,0,14.37106733931069,108.45487117785603,0,0,716,32.584053,3174.5908024162054,2515.3602785260928,0.5606298582902881,29,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000497_0,0,KBang,679,0,0,0,14.241169266522759,108.52359484329175,0,0,683,1.8543341,3132.6109425723553,2663.5936415282367,0.49089460721273914,5,train,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0,0,KBang,569,0,0,0,14.138222000501855,108.52440194058241,0,0,566,9.894531,3335.206618718803,2843.7770705979806,0.2780893490105787,10,train,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
