system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,district,elev,label,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
00000000000000000208_0,2587.0,1901.0,598.0,782.0,843.0,2161.0,0.06400788,0.43874833,MangYang,612,0,0,0,1,13.820894533134432,108.32752371087066,1,2014,612,16.641996,2897.990235873274,2491.310220139485,0.36885970118779543,16.641996,train,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,2847.5,1829.0,568.0,805.5,825.5,2416.0,0.13828033,0.4906679,MangYang,613,0,0,1,0,13.847573334737197,108.33722671476296,1,2020,613,18.9386,2897.990235873274,2491.310220139485,0.25059292479521134,18.9386,train,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a5_0,3175.0,2343.0,925.0,1329.0,1689.0,3105.0,0.13986784,0.2953692,MangYang,621,0,0,0,1,13.983937104052625,108.27200790275526,1,2006,621,8.086622,2830.9538914197656,2390.6103292524813,0.5209354883579488,8.086622,train,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,2908.5,1739.5,555.5,801.0,952.5,2822.5,0.23739588,0.49536425,MangYang,622,0,0,0,0,13.793676180304196,108.35124166937396,0,0,620,3.0087154,2635.8332077176196,2325.3184683491163,0.2608411392901767,3.7047918,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021c_0,2844.5,2030.5,575.0,797.0,883.5,2265.0,0.054592013,0.43878037,MangYang,622,0,0,0,1,13.818468782161355,108.27443365372835,1,2011,622,8.007163,2696.8537884503603,2278.8320351414154,0.7249796328506025,8.007163,train,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,2352.0,1456.0,631.0,774.0,1012.0,2350.0,0.23489228,0.39797738,MangYang,625,0,0,1,0,13.804186281487171,108.30138446049538,1,2019,625,4.1654763,2897.990235873274,2491.310220139485,0.0016009215106418395,4.1654763,train,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000205_0,3380.0,2774.5,793.0,1043.5,1293.0,2461.5,-0.059778456,0.31122652,MangYang,625,0,0,1,0,13.759448120617945,108.3286028133256,1,2019,625,2.9391832,2623.3507197850586,2256.703699868847,0.568203889576329,2.9391832,train,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_0,2845.0,1978.0,693.0,922.0,1102.0,2464.0,0.109410174,0.38194054,MangYang,626,0,0,0,1,13.818468782161355,108.31728561485195,1,2015,626,9.280597,2897.990235873274,2491.310220139485,0.7196828181848697,9.280597,train,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,2271.0,1215.0,427.0,669.0,618.0,2914.0,0.41147977,0.6500566,MangYang,629,0,0,0,1,13.8149683878344,108.35043457208329,1,2014,629,15.726963,3155.4534782294163,2709.3334665788348,0.24223583136683757,15.726963,train,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002af_0,3084.0,2469.0,706.0,906.0,1096.0,2172.0,-0.06399483,0.32925338,MangYang,629,0,0,1,0,13.7578339260366,108.31943936066078,1,2020,629,8.723852,2623.3507197850586,2256.703699868847,0.11507400753721686,8.723852,train,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030e_0,2239.0,1125.0,476.0,702.0,475.0,3134.0,0.471707,0.7367692,MangYang,635,0,0,1,0,13.795829926113012,108.35312786911956,1,2019,635,1.3310552,2635.8332077176196,2325.3184683491163,0.11565653359933958,1.3310552,train,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,3330.0,2388.0,752.0,1013.0,1253.0,2708.0,0.06279435,0.36733148,MangYang,637,0,0,0,1,13.786398927384974,108.31054791316019,1,2017,637,9.237976,2623.3507197850586,2256.703699868847,0.605511334179979,9.237976,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139_0,2711.0,2209.0,691.0,926.0,1085.0,2625.0,0.0860571,0.41509435,MangYang,637,0,0,1,0,13.758641023327272,108.3286028133256,1,2022,637,6.5338116,2623.3507197850586,2256.703699868847,0.5981061298462513,6.5338116,train,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,2008.0,1102.0,443.0,664.0,539.0,2556.0,0.39748496,0.65169626,MangYang,641,0,0,0,1,13.8230527380443,108.31432031265142,1,2018,641,3.9876728,2897.990235873274,2491.310220139485,0.30698026521419663,3.9876728,train,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3_0,2806.0,1724.0,594.0,812.0,801.0,2666.0,0.21457858,0.53792906,MangYang,642,0,0,0,1,13.75918057455474,108.32671661358,1,2015,642,4.2384353,2623.3507197850586,2256.703699868847,0.5833919693634847,4.2384353,train,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,3266.0,1992.0,637.0,881.0,888.0,2934.0,0.19123021,0.53532183,MangYang,643,0,0,0,1,13.819547884616288,108.27631985347395,1,2009,643,3.8149087,2696.8537884503603,2278.8320351414154,0.5392290168226986,3.8149087,train,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000301_0,2364.0,1487.0,415.0,630.5,633.5,2334.0,0.22166972,0.57304126,MangYang,644,0,0,0,1,13.831944185544867,108.27578476134755,1,2004,644,11.005461,2696.8537884503603,2278.8320351414154,0.16106493600444305,11.005461,train,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,2848.0,1633.0,600.0,865.0,918.0,2204.0,0.14881417,0.41191545,MangYang,645,0,0,0,1,13.817389679706423,108.27847805838383,1,2008,645,7.490174,2696.8537884503603,2278.8320351414154,0.5781746651818143,7.490174,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,2505.0,1434.0,516.0,743.0,645.0,3259.0,0.38887706,0.6695697,MangYang,646,0,0,1,0,13.761066774300346,108.33507296895415,1,2020,646,11.171577,2623.3507197850586,2256.703699868847,0.30480779460775165,11.171577,train,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a7_0,2556.0,1593.0,518.0,751.0,717.0,3187.0,0.33347282,0.6326844,MangYang,652,0,0,1,0,13.814968387834398,108.35663272254757,1,2020,652,7.616689,3155.4534782294163,2709.3334665788348,0.5526784094895388,7.616689,train,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ac_0,2867.5,1929.0,548.0,814.5,1016.0,2713.5,0.16898222,0.45515484,MangYang,652,0,0,0,1,13.88934619340588,108.27200790275526,0,2012,652,9.384864,2857.340894066554,2383.316735011041,0.7795658750048154,9.384864,train,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000302_0,3544.0,2524.0,792.0,1079.0,1253.0,2542.0,0.003553099,0.33965746,MangYang,654,0,0,0,1,13.820626987071225,108.27874560444704,1,2010,660,11.455728,2696.8537884503603,2278.8320351414154,0.38373739155171516,7.293566,train,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,2645.5,1557.0,480.5,704.5,674.5,2902.0,0.30163714,0.6228156,MangYang,655,0,0,0,1,13.808230686142645,108.29734451494096,1,2004,655,1.3310918,2696.8537884503603,2278.8320351414154,0.289065460804958,1.3310918,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
